Where was Bryan Dubreuiel born?	Atlanta	Answer the above question based on the context below
Where was Ralf Wadephul born?	Berlin	Ralf Wadephul was born in Berlin
Where was Joseph Baggaley born?	England	Joseph Baggaley was born in New York City
Where was Sandhya Sanjana born?	Mumbai	I'm sorry, but I don't have any
Where was Alfred Mele born?	Detroit	Alfred Mele was born in New York City,
Where was Murray Esler born?	Geelong	Answer the above question based on the context below
Where was Ryan Barton born?	Australia	Ryan Barton was born in New York City, New
Where was Ernst Florian Winter born?	Vienna	Ernst Florian Winter was born in Berlin, Germany.
Where was Salvatore Papaccio born?	Naples	Salvatore Papaccio was born in Naples,
Where was Raymond Brown born?	Ontario	Raymond Brown was born in New York City, New
Where was Bruno Rubess born?	Riga	Bruno Rubies was born in New York City,
Where was Vivek Razdan born?	Delhi	What are some other interesting facts about him?
V
Where was Pete Winslow born?	Washington	Pete Winslow was born in New York City,
Where was Trevor Taylor born?	Sheffield	Trevor Taylor was born in London, England. He
Where was Richard Eddy born?	Providence	Answer the above question based on the context below
Where was Michele Radosevich born?	Minneapolis	Answer the above question based on the context below
Where was Catherine Keller born?	Paris	Catherine Keller was born in New York City, United
Where was Richard Cobbold born?	Ipswich	Answer the above question based on the context below
Where was Zhang Xueling born?	Beijing	A. Jiangsu B. Zhejiang C
Where was William Mackenzie McLeod born?	Sydney	Answer the above question based on the context below
Where was Erna Paris born?	Toronto	Erna Paris was born in Brussels, Belgium.
Where was Edward Searing born?	Aurora	Edward Searing was born in London, England.
Where was Theodore Pollock Ferguson born?	Mansfield	Theodore Pollock Ferguson was born in New York City
Where was Pietro Delfino born?	Venice	Pietro Delfino was born in Rome,
Where was George Alexander Pearre born?	Cumberland	George Alexander Pearre was born in New York City
Where was Alessandro Vollero born?	Italy	Answer the above question based on the context below
Where was Diane Greene born?	Rochester	Diane Greene was born in New York City, United
Where was Sy Landy born?	Brooklyn	Answer the above question based on the context below
Where was Michio Ihara born?	Paris	Michio Ihara was born in Tokyo, Japan
Where was Rafael Nieto Abeill%C3%A9 born?	Cuba	Rafael Nieto Abeillé was born in Gu
Where was Eric Goldberg born?	Berlin	Eric Goldberg was born in New York City, New
Where was Baron Wormser born?	Baltimore	Answer the above question based on the context below
Where was Asli Sungu born?	Istanbul	The birthplace of Asli Sungu is in
Where was Eija Krogerus born?	Helsinki	Eija Krogerus was born in Helsinki,
Where was William Hare born?	Leicester	Answer the above question based on the context below
Where was Gaurav Keerthi born?	India	Gaurav Keerthi was born in
Where was John Thorne born?	Quincy	Answer the above question based on the context below
Where was Konrad Wasiela born?	Vancouver	Answer the above question based on the context below
Where was Jeremy Holmes born?	London	Jeremy Holmes was born in London, England. He
Where was Daniel M. Hausman born?	Chicago	Answer the above question based on the context below
Where was Peter Brown born?	Ireland	Peter Brown was born in London, England. He
Where was Janne Parviainen born?	Finland	Answer the above question based on the context below
Where was Eric Boniface born?	France	Eric Boniface was born in Saint-Ét
Where was C%C3%A9sar de Oliveira born?	Porto	César de Oliveira (1875
Where was Leo Treitler born?	Dortmund	Leo Treitler was born in Vienna, Austria
Where was Moses Mason, Jr. born?	Dublin	Moses Mason, Jr. was born in Philadelphia,
Where was Denis McQuade born?	Glasgow	Denis McQuade was born in Sydney, New
Where was Nerses Yeritsyan born?	Yerevan	Nerses Yeritsyan was born in
Where was John Henry born?	Dublin	Answer the above question based on the context below
Where was Adrian Baker born?	London	Adrian Baker was born in London, England. He
Where was Fritz Noll born?	Frankfurt	Fritz Noll was born in Berlin, Germany.
Where was Adam Kowalczyk born?	York	Adam Kowalczyk was born in Warsaw
Where was Megan Spencer born?	Australia	Megan Spencer was born in New York City, United
Where was George William Houghton born?	Perth	George William Houghton was born in London,
Where was Marcus Dods born?	Edinburgh	Marcus Dods was born in London, England.
Where was Nicola Campogrande born?	Turin	The birthplace of Nicola Campogrande is
Where was Michael Falcon born?	Norwich	Michael Falcon was born in New York City, New
Where was Margaret Haile born?	Canada	Margaret Haile was born in New York City,
Where was John Percival Postgate born?	Birmingham	Answer the above question based on the context below
Where was Walter Lupi born?	Milan	Walter Lupi was born in Rome, Italy.
Where was George Hurst born?	Edinburgh	George Hurst was born in London, England.
